Patches I haven't had time to look at up to and including -r723682:

r615387 | mlaurent | 2006-12-21 21:54:45 +1100 (Thu, 21 Dec 2006) | 2 lines
r615786 | mlaurent | 2006-12-23 04:13:51 +1100 (Sat, 23 Dec 2006) | 2 lines
r616836 | woebbe | 2006-12-27 11:52:21 +1100 (Wed, 27 Dec 2006) | 1 line
r619130 | aseigo | 2007-01-03 07:15:52 +1100 (Wed, 03 Jan 2007) | 2 lines
r621483 | dfaure | 2007-01-09 08:28:58 +1100 (Tue, 09 Jan 2007) | 2 lines
r621518 | hausmann | 2007-01-09 09:39:24 +1100 (Tue, 09 Jan 2007) | 3 lines
r624051 | scripty | 2007-01-16 18:34:44 +1100 (Tue, 16 Jan 2007) | 1 line
r628280 | mkretz | 2007-01-30 04:22:59 +1100 (Tue, 30 Jan 2007) | 2 lines
r632863 | ilic | 2007-02-13 02:11:00 +1100 (Tue, 13 Feb 2007) | 2 lines
r633175 | mlaurent | 2007-02-13 23:57:34 +1100 (Tue, 13 Feb 2007) | 2 lines
r634270 | uwolfer | 2007-02-17 06:00:42 +1100 (Sat, 17 Feb 2007) | 2 lines
r635494 | coolo | 2007-02-20 18:04:36 +1100 (Tue, 20 Feb 2007) | 1 line
r636945 | mkoller | 2007-02-25 06:20:13 +1100 (Sun, 25 Feb 2007) | 2 lines
r638306 | mlaurent | 2007-03-02 01:01:07 +1100 (Fri, 02 Mar 2007) | 2 lines
r639989 | scripty | 2007-03-07 00:56:40 +1100 (Wed, 07 Mar 2007) | 1 line
r640672 | aseigo | 2007-03-09 06:33:52 +1100 (Fri, 09 Mar 2007) | 2 lines
r640791 | scripty | 2007-03-09 19:08:29 +1100 (Fri, 09 Mar 2007) | 1 line
r644702 | dfaure | 2007-03-21 05:44:01 +1100 (Wed, 21 Mar 2007) | 5 lines
r644819 | dfaure | 2007-03-21 10:35:12 +1100 (Wed, 21 Mar 2007) | 2 lines
r648665 | dfaure | 2007-04-01 09:25:03 +1000 (Sun, 01 Apr 2007) | 3 lines
r648781 | tfry | 2007-04-01 21:35:39 +1000 (Sun, 01 Apr 2007) | 1 line
r649164 | aseigo | 2007-04-02 17:07:42 +1000 (Mon, 02 Apr 2007) | 2 lines
r649395 | uwolfer | 2007-04-03 01:49:26 +1000 (Tue, 03 Apr 2007) | 1 line
r650545 | pino | 2007-04-05 05:39:31 +1000 (Thu, 05 Apr 2007) | 2 lines
r651360 | pino | 2007-04-07 23:04:59 +1000 (Sat, 07 Apr 2007) | 2 lines
r651361 | pino | 2007-04-07 23:14:48 +1000 (Sat, 07 Apr 2007) | 2 lines
r652374 | lopezlean | 2007-04-11 06:40:13 +1000 (Wed, 11 Apr 2007) | 2 lines
r654543 | uwolfer | 2007-04-17 00:01:34 +1000 (Tue, 17 Apr 2007) | 3 lines
